"","sp_name","time","ca_cohort_sum","ca_ha","cum_ca","ca_percent","oak_rate","LL_Rates_cm","groundwater_class","cum_avg_percentage"
"1","SEI",26,10000,1,10000,100,"mean","30 cm","intermediate",100
"2","SEI",31,10000,1,10000,100,"mean","30 cm","intermediate",100
"3","SEI",36,10000,1,10000,100,"mean","30 cm","intermediate",100
"4","SEI",41,10000,1,10000,100,"mean","30 cm","intermediate",100
"5","SEI",46,10000,1,10000,100,"mean","30 cm","intermediate",100
"6","SEI",51,9658.63655805082,0.965863655805082,10000,96.5863655805082,"mean","30 cm","intermediate",99.4310609300847
"7","SEI",56,9029.83028248374,0.902983028248375,10000,90.2983028248374,"mean","30 cm","intermediate",98.1263812007637
"8","SEI",61,8428.82091414012,0.842882091414012,10000,84.2882091414012,"mean","30 cm","intermediate",96.3966096933434
"9","SEI",66,7865.63944027855,0.786563944027855,10000,78.6563944027855,"mean","30 cm","intermediate",94.4254746610591
"10","SEI",71,7328.89075082192,0.732889075082192,10000,73.2889075082192,"mean","30 cm","intermediate",92.3118179457751
"11","SEI",76,6822.27867699428,0.682227867699428,10000,68.2227867699428,"mean","30 cm","intermediate",90.1219060206995
"12","SEI",81,6354.37749392261,0.635437749392261,10000,63.5437749392261,"mean","30 cm","intermediate",87.90706176391
"13","SEI",86,5921.1937240493,0.59211937240493,10000,59.211937240493,"mean","30 cm","intermediate",85.6997444928779
"14","SEI",91,5519.21736637884,0.551921736637884,10000,55.1921736637884,"mean","30 cm","intermediate",83.5206322908001
"15","SEI",96,5145.36563427054,0.514536563427054,10000,51.4536563427054,"mean","30 cm","intermediate",81.3828338942605
"16","SEI",101,4796.93338323834,0.479693338323834,10000,47.9693338323834,"mean","30 cm","intermediate",79.2944901403932
"17","SEI",106,4471.5493427837,0.44715493427837,10000,44.715493427837,"mean","30 cm","intermediate",77.2604315102428
"18","SEI",111,4167.13737069494,0.416713737069494,10000,41.6713737069494,"mean","30 cm","intermediate",75.2832616322821
"19","SEI",116,3881.88204244238,0.388188204244238,10000,38.8188204244238,"mean","30 cm","intermediate",73.364080516079
"20","SEI",121,3614.19797421062,0.361419797421062,10000,36.1419797421062,"mean","30 cm","intermediate",71.5029754773804
"21","SEI",126,3362.70235734849,0.336270235734849,10000,33.6270235734849,"mean","30 cm","intermediate",69.699358720052
"22","SEI",131,3126.19025583475,0.312619025583475,10000,31.2619025583475,"mean","30 cm","intermediate",67.9522016217927
