"","sp_name","time","ca_cohort_sum","ca_ha","cum_ca","ca_percent","oak_rate","LL_Rates_cm","groundwater_class","cum_avg_percentage"
"1","SEI",26,10000,1,10000,100,"mean","30 cm","intermediate",100
"2","SEI",31,10000,1,10000,100,"mean","30 cm","intermediate",100
"3","SEI",36,10000,1,10000,100,"mean","30 cm","intermediate",100
"4","SEI",41,10000,1,10000,100,"mean","30 cm","intermediate",100
"5","SEI",46,10000,1,10000,100,"mean","30 cm","intermediate",100
"6","SEI",51,10000,1,10000,100,"mean","30 cm","intermediate",100
"7","SEI",56,10000,1,10000,100,"mean","30 cm","intermediate",100
"8","SEI",61,9819.71924665222,0.981971924665222,10000,98.1971924665222,"mean","30 cm","intermediate",99.7746490583153
"9","SEI",66,9479.80530745837,0.947980530745837,10000,94.7980530745836,"mean","30 cm","intermediate",99.2216939490118
"10","SEI",71,9144.7785021642,0.91447785021642,10000,91.447785021642,"mean","30 cm","intermediate",98.4443030562748
"11","SEI",76,8811.66974702882,0.881166974702882,10000,88.1166974702882,"mean","30 cm","intermediate",97.5054298211851
"12","SEI",81,8491.92398811492,0.849192398811492,10000,84.9192398811492,"mean","30 cm","intermediate",96.4565806595155
"13","SEI",86,8187.33707612589,0.818733707612589,10000,81.8733707612589,"mean","30 cm","intermediate",95.3347952827265
"14","SEI",91,7895.90937944698,0.789590937944698,10000,78.9590937944698,"mean","30 cm","intermediate",94.1651023192796
"15","SEI",96,7615.84491188563,0.761584491188563,10000,76.1584491188563,"mean","30 cm","intermediate",92.9646587725847
"16","SEI",101,7345.54036455842,0.734554036455842,10000,73.4554036455842,"mean","30 cm","intermediate",91.7453303271471
"17","SEI",106,7083.57574386344,0.708357574386344,10000,70.8357574386344,"mean","30 cm","intermediate",90.5153554513523
"18","SEI",111,6828.70631233785,0.682870631233785,10000,68.2870631233785,"mean","30 cm","intermediate",89.2804503220204
"19","SEI",116,6579.85551368677,0.657985551368677,10000,65.7985551368676,"mean","30 cm","intermediate",88.0445611017492
"20","SEI",121,6336.10855072103,0.633610855072103,10000,63.3610855072103,"mean","30 cm","intermediate",86.8103873220223
"21","SEI",126,6096.70627828017,0.609670627828018,10000,60.9670627828017,"mean","30 cm","intermediate",85.5797528201546
"22","SEI",131,5861.03907546829,0.586103907546829,10000,58.6103907546829,"mean","30 cm","intermediate",84.3538727262695
"23","SEI",136,5628.64037554198,0.562864037554198,10000,56.2864037554198,"mean","30 cm","intermediate",83.1335479884065
